f,r,o,m
t,o
250832,378667
333533,333534
253092,253330
392472,392485
220640,119864
119864,126464
126464,119830
119830,126460
275886,275340
275340,275341
275341,275887
275887,275342
275342,275889
237703,248249
248249,248253
249544,38248
38248,37911
247325,247120
257757,257755
80075,80076
80076,80029
253376,253375
253375,253037
253037,253036
23405,22277
22277,23410
23410,23411
23411,23414
23414,22285
348474,348475
348475,348476
348476,348477
348477,348478
348478,348481
9029,10628
10628,10611
10611,10596
234906,234286
234286,234894
234894,234890
234890,234282
143007,239801
239801,77692
77692,154600
154600,154125
154125,152763
152763,384716
384716,77900
77900,164740
164740,55074
55074,201016
201016,288503
288503,288504
288504,288512
288512,78347
78347,164104
164104,259734
259734,163989
163989,162804
162804,168168
168168,163986
163986,168165
168165,163979
163979,163975
163975,163974
163974,168158
168158,168154
168154,168153
168153,200493
200493,200146
200146,163777
163777,167953
167953,250541
250541,111887
111887,111859
111859,208599
208599,71778
71778,200401
200401,199987
199987,18498
18498,94762
94762,200428
200428,67854
67854,68275
68275,69476
69476,79084
79084,85303
85303,18472
18472,274900
274900,269941
269941,332111
332111,366963
366963,111538
111538,346627
346627,275343
275343,275344
275344,347128
273593,273591
193956,193957
269475,402841
358773,359219
361639,361637
361637,350085
144980,144970
73215,73205
73205,72407
214347,214349
214349,214360
214360,214378
40374,286560
259990,261250
43992,43988
237533,237523
237523,237516
295813,295949
333900,333904
333904,164010
164010,333905
333905,164008
164008,158688
107209,107203
380306,379424
379424,380307
348815,348814
12008,12007
6449,6448
6448,6447
6447,6428
6428,6427
6427,6426
6426,6425
6425,6424
6424,6412
19956,101026
101026,176632
47510,196826
83266,384967
205529,207881
207881,206993
328184,328224
35792,36414
186880,181847
82518,82516
394358,37492
109038,103666
58245,58220
361994,361997
54157,54154
118013,118001
99441,99450
43983,44389
44389,43982
43982,44391
238572,236874
236874,238585
246492,246479
246479,246478
394763,394766
106441,102214
220651,220652
220652,220655
361698,361688
348312,346789
346789,348325
348325,348326
338278,337325
337325,337328
337328,346136
346136,346139
346139,345918
189830,189906
278449,278253
218130,211706
382835,382836
305858,323762
181617,184710
184710,181593
119617,126015
291135,291134
144689,139615
273171,273170
273170,273169
205281,206704
206704,206695
214732,214733
214733,214747
252395,252399
215451,284617
284617,284173
284173,82319
82319,82315
82315,111573
111573,111571
111571,111570
93950,93949
93949,94805
84752,85344
268447,268509
82148,82096
82096,82094
82094,82090
201084,201083
213116,209413
209413,209395
209395,209391
209391,213161
81829,82343
82343,82333
82333,81817
392168,392124
201416,201418
207354,207355
207355,207351
238737,236805
47628,6648
6648,46375
46375,6647
6647,47626
47626,46373
46373,6263
6263,47621
47621,47618
41483,41976
41976,41195
95173,95174
95174,95176
180134,183181
5996,155912
155912,155579
155579,155910
383811,163707
163707,180925
180925,185695
185695,24265
24265,24266
24266,24267
188310,379262
380573,379477
198164,198165
39149,39174
219854,219853
219853,212664
159364,159615
102086,102084
272277,272271
8105,9954
90384,90396
90396,90395
90395,90397
90397,90398
90398,90399
94447,272615
272615,272652
120003,126130
400648,399844
296244,297741
12392,182110
182110,182109
379813,379785
103673,109044
109044,109043
109043,103671
103671,109035
109035,103663
103663,109025
399475,399476
205789,207687
3179,3173
121249,121246
121246,121245
121245,118519
118519,121244
59322,59344
11030,20464
267161,297969
297969,267162
267162,267165
267165,267166
267166,267167
267167,267207
267207,267005
267005,297970
297970,267208
267208,267209
267209,297971
297971,267210
82637,72141
192467,213625
213625,209168
209168,208273
362205,350317
394802,394031
28662,28663
213408,213407
108964,103624
103624,103623
103623,8237
377280,377276
30820,30803
143963,143962
51551,51550
94656,93524
115775,115778
115778,217635
395342,395561
291906,397463
397463,397477
143236,143235
158263,159417
361839,349961
349961,361822
112559,112568
112568,112570
338036,338037
338037,338038
338038,338050
338050,338051
250924,250928
79235,79336
79336,79305
79305,79349
381106,75110
75110,382006
40464,40239
27028,27506
35021,119274
119274,129168
129168,54517
54517,54516
104269,11222
11222,20622
20622,110096
110096,11221
11221,20621
20621,110095
110095,11224
11224,20623
20623,110098
390186,390187
284432,284292
284292,284433
383908,383909
383909,383910
305759,305765
305765,305768
305768,320514
320514,305771
305771,305772
305772,320517
291902,291128
218946,218939
29068,30628
30628,178701
178701,29066
29066,29981
29981,178700
187928,187936
216065,209980
67936,257725
164530,164504
164504,164502
164502,164485
164485,164477
164477,164412
164412,164389
191108,205814
205814,207666
284821,285786
214314,214317
214317,211314
211314,211312
364988,364987
364987,364978
364978,364976
364976,364975
364975,364973
300496,306211
306211,300224
300224,300497
323064,323065
323065,306046
306046,323069
323069,323070
323070,306054
306054,306069
306069,306070
306070,306071
306071,306072
306072,323075
323075,323076
323076,306074
306074,323074
103296,106023
259796,264622
9559,105968
105968,305122
117622,117619
117619,117597
102997,102996
236406,52516
52516,51571
299227,295488
187608,187607
267970,402166
376623,369060
369060,376624
267705,401871
320436,305384
305384,320437
359377,350277
350277,359383
185933,183269
183269,180014
399214,399215
150639,150636
150636,150635
32563,32557
103842,109340
182570,182563
182563,182558
182558,179234
179234,179235
184510,179291
361040,349803
186319,180595
180595,180592
252581,252526
71964,71653
347249,345924
298575,298576
298576,298578
35813,37351
34907,54966
54966,216492
235537,234531
347773,347775
279067,279798
323813,321586
23502,23588
23588,23485
23485,23539
23539,23484
23484,23538
23538,23480
23480,23536
23536,23479
23479,23477
173179,173177
80091,78988
54192,57674
22461,289275
289275,22462
397688,397689
214384,211282
68046,88496
174648,174650
160949,160767
41060,42147
377948,377946
273723,255723
255723,273725
48296,48898
401596,401597
218772,218734
79711,79712
86174,86172
376686,376688
217674,217689
114954,115343
115343,115344
291929,288641
288641,288642
288642,288643
288643,288673
288673,288674
179942,183394
183394,179927
179927,183409
183409,179776
179776,179701
3522,128464
183171,180159
398671,162366
162366,162702
49468,49413
346787,346831
395397,395506
215650,210258
19203,19801
19801,19202
19202,19200
19200,19793
6972,6975
6975,6304
6304,6305
6305,44765
44765,45806
19822,326003
41608,41607
41607,42355
197791,195716
95809,95808
298953,294812
247993,73269
73269,247240
322916,304962
335664,335662
335662,335657
83173,83182
105531,105526
364239,364240
364240,364241
364241,364242
364242,364243
364243,365340
347185,347186
109477,103931
104830,106230
260600,265188
368793,368799
368799,36089
54284,54280
213569,209215
209215,206408
85401,85400
260830,265359
38489,38379
37247,37254
45950,196883
191752,126795
126795,126796
126796,126797
126797,126765
126765,126766
126766,126767
48028,48027
190277,191847
325844,278545
196814,45962
383633,383636
58053,58050
86176,86161
86161,86159
216419,216431
260292,264913
76621,88736
30148,29629
256023,256020
205567,207847
401651,402629
7363,7493
360992,349847
266071,266438
348104,348105
175790,175425
284442,284301
140277,144016
184772,181503
46023,46985
46985,46531
46531,45795
273819,273820
22613,22614
11553,29296
377506,376996
376996,377492
272610,272611
272611,272612
272612,272613
233331,233330
143526,143525
143525,134689
134689,134688
203232,78010
201022,201021
280159,280164
139988,139979
190512,48882
323924,323965
107061,102442
70401,70402
70402,70489
70489,70525
70525,70524
70524,70523
70523,69653
69653,70409
274019,274025
254818,254821
102254,106587
106587,102252
102252,106586
106586,106585
108116,102783
93446,93604
333856,333857
321723,321724
11219,20619
20619,11206
11206,20607
365412,365417
377255,377252
100493,100411
271826,271828
140821,140820
79784,79785
79785,79804
82322,81804
97086,321293
100440,257430
257430,271203
271203,284544
112578,112579
112579,112583
214291,214433
214433,211259
211259,214518
32753,31464
102840,108138
274151,274153
274153,274154
390363,390067
205685,207765
170873,170874
347586,347121
359400,350302
350302,350303
220329,220330
346620,346621
210080,210073
144892,141337
305853,305875
305875,300178
300178,306158
105978,105319
105319,105282
105282,244326
27998,28567
28567,71616
71616,28381
81996,82566
82566,101039
101039,101828
101828,101034
101034,101033
101033,101827
175059,187342
360676,362344
362344,360850
380590,379479
245320,245319
162583,162719
95351,94206
37375,38296
24882,27238
35934,35924
24809,69537
97615,97614
97614,299289
71114,71109
104024,8337
8337,109542
115255,115206
115206,114998
69669,70596
70596,69666
69666,70593
70593,70578
150760,143814
296269,296270
287240,330531
330531,330607
330607,332302
332302,330532
330532,330530
330530,330606
330606,332303
45939,46789
185147,185148
209895,209885
209885,209883
209883,209881
209881,216341
216341,216343
216343,209836
1246,1191
291205,291204
291204,291198
291198,291193
8198,10639
10639,10613
338370,338371
296412,295756
276265,276272
276272,276279
44741,46626
34795,33410
38302,37692
220052,220050
239742,239728
208209,206526
206526,205092
182115,182113
212972,212971
212971,209425
47438,46714
46714,47439
41764,41755
41755,41751
41751,41729
390199,390200
7750,7752
305704,305705
305705,324692
259720,264582
203461,203462
203462,203470
46831,46807
46807,46768
46768,47316
47316,46760
86322,86321
255044,346221
260655,265245
265245,265239
265239,265238
94641,287402
246798,246796
246796,173584
173584,181236
181236,181237
181237,143402
143402,143401
143401,142294
142294,236983
236983,238283
238283,141424
141424,140962
140962,152510
152510,140681
140681,140443
140443,236559
236559,236014
236014,234949
104174,109960
155892,393885
321750,321751
103460,108688
108688,103451
103451,108686
108686,108670
108670,103325
397619,397890
209087,209086
167870,167869
167869,167865
28557,28556
36013,36398
36398,37229
79730,79168
79168,79965
79965,79169
395201,395436
252210,252211
305030,320342
275170,275171
275171,275172
84345,84346
84346,205019
205019,206066
49527,49517
114778,114779
114779,90172
90172,89885
89885,77056
58131,298802
298802,153484
153484,152248
152248,153302
213477,209277
209277,206468
48016,48012
48012,48011
305785,323490
337125,80786
80786,80782
80782,26980
6397,6391
6391,6379
95958,95959
390329,383402
261358,259597
181289,185001
185001,248910
19654,19653
19653,19124
208687,208702
208702,208704
208704,51117
51117,208712
112320,112318
112318,112317
112317,112316
280128,279831
2336,197903
41683,41679
67960,88358
88358,67954
67954,88353
157417,201494
201494,201420
201420,46528
185211,185224
6961,6971
361419,361417
100471,257441
257441,271216
233717,233197
233197,233735
286519,286743
286743,286517
286517,286516
364448,364471
337003,337007
337007,337008
209696,216768
216768,209692
79406,79031
79031,79417
102570,107398
114684,41315
31816,34007
69817,69816
24775,24779
99183,203039
179642,183938
87716,88830
99322,24797
12271,17842
85299,85405
172675,57910
57910,31574
31574,57911
141394,141392
141392,141387
291775,291179
48046,83147
213970,208470
232681,232680
192016,192154
235586,244365
244365,244278
244278,244243
24657,24658
379728,379129
111580,112024
101757,177520
177520,101748
101748,177506
177506,178640
83089,83786
118085,118204
118204,118084
118084,118203
47882,402108
127115,118497
2200,2173
2173,273910
273910,71085
71085,69568
24566,271163
234335,235029
235029,234333
286990,286989
115956,115954
239791,237140
2388,348654
73257,72405
260879,261037
204517,48526
48526,50929
50929,206040
30616,244210
201090,201082
158621,159506
159506,158463
158463,159488
38238,37302
213302,209356
209356,213310
213310,209351
27715,28854
28854,28155
28155,28495
275496,275258
84712,85308
85308,84719
84719,85306
85306,40292
40292,84713
84713,85305
211438,211437
395207,395431
253225,253106
31133,31638
238554,238557
72332,72173
361455,359018
172996,173873
173873,54402
54402,7966
105248,105246
295057,295058
346353,346355
346355,346365
346365,346367
383770,383771
383771,383773
299586,61008
45511,45510
54451,54450
324047,321732
321732,321742
321742,321743
321743,321744
7236,7424
114396,114397
114397,114421
206738,208089
100479,257443
257443,284738
284738,284111
12011,12013
12013,12012
104561,248952
380352,380370
60041,59564
249288,249284
336030,335747
377939,377268
393914,360673
1456,916
337476,337483
337483,347709
182249,182248
182248,186917
186917,182242
279639,279925
350064,350065
361331,350268
81396,80501
100849,94293
383599,383602
54339,54911
72263,73189
89663,267744
267744,267745
267745,402610
24898,24899
24899,27254
27254,27255
244523,244524
163814,167991
77479,77480
115964,115958
115958,115951
348067,346758
107574,107573
107573,107567
107567,107554
134492,134491
134491,134770
257614,346394
191197,191198
100976,100975
100975,100968
240584,240560
240560,240558
284626,284096
276224,368981
22529,22532
324493,324508
390433,390234
10906,10895
169732,275658
104871,104868
104868,111100
218014,217932
395378,395525
295216,299402
299402,18987
18987,19943
11072,20500
235278,234403
402913,402930
236242,234839
234839,236250
236250,233648
25002,25003
25003,48931
94093,94092
94092,273570
289278,289279
289279,289281
51672,52024
35860,35858
237330,240352
58007,53860
54378,54374
158222,159373
50061,49337
49337,49971
173473,173472
173472,8547
8547,173469
246000,245999
304760,320322
320322,320323
320323,304763
172218,299003
3066,3073
3073,3072
3072,3084
106499,102230
244302,38048
38048,38042
364037,364038
364038,364039
245819,245655
204762,206222
206222,206221
206221,204757
204757,206219
206219,190329
190329,206218
88655,68049
68049,88500
399973,395163
395163,395475
395475,399921
239451,235880
49198,49174
49174,204617
304625,323420
337218,337248
145039,145037
155596,379180
368806,368807
107756,102676
322853,322869
322869,322877
322877,322924
322924,322926
322926,322962
181226,185079
185079,181223
181223,185086
185086,181198
40714,71322
71322,71323
34015,31820
31820,34011
11625,20925
20925,249101
249101,260993
212071,212057
49078,48240
134296,134617
233696,233584
48960,48749
48749,48744
71175,69754
61077,61452
139804,144446
144446,144447
144447,144448
141053,141050
77702,77703
38294,38282
72174,71779
71779,72160
104185,109974
114644,113344
113344,114647
180346,180340
177301,178113
364015,364014
364014,364010
364010,364008
18493,18492
236706,238957
304811,304817
41512,41486
143734,143731
143731,143726
143726,143695
143695,143694
364129,364141
364141,364144
364144,364147
242668,242667
242667,115227
253074,253069
121010,126801
126801,126771
126771,53793
44058,40656
40656,44055
44055,45691
45691,44054
44054,45690
45690,46471
46471,44051
52480,52192
52192,52481
324088,321368
129600,129601
174468,33408
49652,49601
27730,28181
28181,28180
28180,28179
28179,28175
48673,402041
143114,143113
377854,377223
163958,168137
175097,174795
105505,106625
306658,323552
323552,306671
69325,160205
291030,291214
291214,291208
291208,291194
862,864
45047,46196
10666,8207
378127,397883
382573,380809
380809,382574
382574,380807
380807,382575
383318,383319
383319,164661
164661,383320
383320,383321
383321,383323
383323,164660
164660,164659
164659,164658
164658,164657
391899,391723
279945,279662
279662,279949
279949,279664
279664,279986
279986,279709
279709,279987
285256,252882
252882,160726
118590,128881
128881,118588
252409,40266
257603,284559
211380,211379
10066,179918
42148,42145
42145,41058
106411,102206
102206,106407
106407,102204
102204,106404
106404,102203
323791,323795
186448,73120
80058,80090
80090,80061
80061,80027
80027,78987
41274,41272
27338,271890
271890,27339
27339,271889
271889,27342
27342,271888
271888,272046
272046,272045
272045,272044
247388,247733
247733,247732
215452,215456
215456,210372
210372,210369
210369,210344
37755,37754
98778,98779
144038,140479
94128,94126
395172,395466
235531,235512
235512,235499
235499,234485
252608,364621
364621,280142
244931,244949
244949,244593
61250,61241
120086,192612
102795,107991
69789,69900
51440,51621
51621,51619
284147,284146
157514,157505
157505,157503
161409,161410
260798,260795
260795,265329
186677,182388
182388,364166
364166,40384
40384,40230
109256,180802
110784,11655
11655,20945
20945,104690
104690,110782
237179,239878
239878,239880
126369,256855
256855,256858
256858,284725
94749,295350
286693,287083
287083,286694
54729,58153
238841,236751
236751,238867
9362,9295
177877,177874
177874,177838
177838,177836
177836,176872
118063,118255
118255,118061
19644,19117
40538,167751
218326,218311
218311,211762
211762,211761
177386,178149
178149,178778
178778,177350
304185,324569
215412,206803
206803,205344
205344,206799
325490,325463
325463,325489
325489,325488
325488,325465
204926,205939
401881,401652
346400,346401
306599,306600
306600,306674
70000,60987
60987,41050
41050,41011
338214,344125
179648,183921
18989,18988
179844,183559
59853,196809
51633,51456
51456,51603
23723,27852
27852,28835
158212,159360
201537,201540
358141,349874
349874,358142
358142,349875
349875,358143
7791,7792
180226,180214
49498,193965
271657,278689
252275,252277
381008,75470
114454,114455
114455,114456
114456,114457
114457,114458
114458,114459
114459,114460
197370,197363
361063,361059
361059,349805
349805,361039
259772,264606
104939,106223
399043,399046
140029,144084
144084,140022
140022,144081
127314,118645
118645,118644
358763,359209
120212,129407
129407,210376
210376,210375
292464,292571
376364,376370
216576,216611
216611,216762
27764,28344
28344,28166
28166,28743
28743,28160
28160,27690
27690,28146
37653,38175
338922,338956
338956,346074
346074,345997
345997,346001
346001,346010
346010,345904
345904,346212
346212,346213
346213,346249
346249,346255
346255,346256
346256,346257
346257,346282
346282,346295
346295,346302
346302,346312
346312,346313
346313,346315
346315,346321
346321,346322
346322,346323
346323,346328
346328,346379
346379,346381
346381,346395
346395,346453
346453,346542
346542,346543
346543,346544
346544,346563
346563,346578
346578,346585
346585,346615
346615,346617
346617,346656
346656,346739
346739,346828
305165,320401
320401,320403
305778,323751
259574,261195
95791,95893
95893,95897
95897,95797
95797,95798
1325,47279
47279,46513
135144,140284
379223,295183
218417,211830
29513,177286
177286,29512
29512,177284
235032,326082
326082,234979
103367,103366
297763,297764
9237,18139
38662,38448
76838,76922
76922,76466
76466,77122
77122,76843
76843,76926
76926,76467
76467,77135
77135,76844
76844,76927
76927,76468
76468,77137
77137,76470
76470,77149
77149,76851
76851,76932
76932,76471
76471,77151
77151,76852
76852,76933
76933,76472
76472,77153
77153,76853
76853,76934
76934,76473
76473,77168
77168,77167
77167,76680
76680,76861
288968,288970
179981,183324
183324,179971
305920,305923
238618,238619
49531,49515
49534,51060
51060,128964
128964,189866
189866,50233
2282,1553
9056,173700
54051,173730
252298,118070
118070,172074
12170,12169
12169,12168
51495,299995
235756,234610
220658,220660
70311,69730
307407,307413
307413,321956
321956,321950
239398,235690
307198,307213
307213,322153
322153,322138
101963,101398
233709,233195
209824,216373
216373,209822
275577,275579
275579,275582
275582,274962
274962,275590
275590,274938
69981,69987
299091,295342
19432,19430
141857,141855
171782,171780
50240,48229
48229,48464
46006,46930
46930,46921
188283,188285
157391,199638
89658,89657
384742,384542
396448,395292
395292,395612
395612,322284
42174,41063
105765,182734
88057,88878
114955,242226
103313,106020
203407,203420
187838,5303
377214,175319
175319,174896
174896,175320
175320,175321
175321,127503
103905,109425
109425,109422
109422,109417
109417,109411
109411,8330
8330,109395
206033,204982
204982,206031
118365,394002
58962,59591
59591,58964
58964,59589
59589,59573
172061,118266
102768,106060
153779,86855
11627,20927
305269,323712
112274,111903
173032,152520
152520,296429
296429,152338
358364,349816
379999,379993
359375,359376
359376,246283
95391,94247
32755,31466
306891,323192
108825,108824
108824,103342
204534,48556
48556,190340
190340,48869
144578,144579
144579,145519
145519,145503
197779,195668
195668,195667
214806,214808
214808,211057
143508,99081
109153,103740
103740,109152
109152,109122
109122,103717
103717,109121
109121,103713
103713,103712
103712,109111
109111,109116
109116,109115
109115,109114
240453,237365
237365,240448
291054,291053
291053,291052
22347,22348
349287,349288
80424,80425
233215,233752
322288,322294
153090,152226
152226,153225
46328,47119
32364,32361
32361,33661
24749,152289
30184,29717
95475,95476
297911,294895
37593,38441
38441,38426
38426,38522
38522,38427
271611,271740
140725,140723
48534,50296
50296,49093
49093,50249
50249,50252
50252,49086
49086,48518
31584,31575
69598,71147
71147,69581
69581,71146
35486,35510
35510,35511
35511,35512
337891,344070
120294,127726
163673,163659
163659,163658
163658,163651
163651,163649
163649,163640
163640,163638
163638,163634
163634,163632
163632,163596
163596,163591
163591,163544
163544,163540
395150,395488
260545,260543
260543,265139
265139,265135
247533,246155
246155,247532
191641,191627
158532,158533
158533,158546
253245,253247
215379,215396
215396,210373
203626,80096
80096,379218
210867,208906
390900,390903
390903,390904
47345,46592
46592,40924
40924,46591
46591,41635
41635,41631
41631,46532
46532,6025
6025,45797
45797,46526
46526,1338
1338,47304
47304,41017
288845,288846
288846,164054
362265,360738
145088,143535
188197,5469
70100,70101
121141,127060
127060,127047
284460,284351
21339,19303
19303,20166
114627,114634
114634,114635
114635,114636
185416,185423
185423,185430
103593,108929
108929,103590
103590,108923
108923,103586
174811,175042
175042,174888
174888,174880
154097,152734
152734,322237
322237,322238
322238,322245
212991,212992
256021,256019
382570,382572
177871,176936
176936,176934
119446,127003
134524,134802
134802,134801
19490,178355
178355,177804
177804,178354
178354,178334
359467,359468
359468,359472
276514,278329
384164,384178
384178,384179
9074,9072
176910,177852
89376,89548
5419,43926
71841,73634
144724,144784
144784,144801
297976,307105
109383,103877
103877,103876
103876,109388
398901,398900
250300,250301
250301,250302
250302,173612
173612,250304
250304,173610
253219,253111
214894,152007
18577,18575
18575,18570
18570,18569
18569,18563
126296,126294
214045,214050
214050,214080
88670,88669
48169,49012
62757,62771
62771,62772
62772,62774
272423,272424
404269,268094
144598,139656
232853,232836
68100,68239
333242,268639
50969,49501
29626,30145
30145,30143
241813,241810
241810,241806
241806,241805
158455,158354
5171,190252
190252,191509
191509,5666
27937,28372
28372,28717
28717,28852
349112,349113
143435,33650
33650,143408
45598,46062
46062,195840
163710,163709
246548,246547
179632,183945
183945,179560
384361,384364
384364,384366
28674,236232
236232,28677
359705,359799
395351,395552
187016,187271
187271,187015
34499,34457
218784,218783
218783,129609
129609,35149
114859,275366
244244,244236
232768,232770
358512,358511
358511,350034
107291,102528
102528,54940
54940,107280
382474,382968
280132,279833
156419,250994
250994,324095
324095,321798
321798,321401
8881,8877
8877,17831
402962,336518
348023,338422
219215,219213
69001,195844
362127,349925
349925,362297
362297,360817
85327,85323
72312,72311
267982,267988
142344,142340
61,54475
44812,44854
44854,45728
45728,157483
157483,195874
195874,201722
275106,275107
75408,88602
276302,276349
276349,330642
330642,330641
330641,276353
276353,330640
330640,330639
330639,330638
330638,330637
330637,330636
330636,330635
330635,330634
330634,270760
270760,276366
276366,276367
175350,174902
180982,185535
185535,185555
185555,185557
185557,180974
260564,265147
175388,174907
48531,118707
118707,190372
190372,49092
49092,48481
48481,48480
38592,38465
32792,34134
34134,32790
32790,32789
32789,31503
31503,34107
34107,31501
31501,31500
31500,32774
32774,32770
32770,31485
31485,31481
95751,100351
100351,177678
281677,288668
288668,333770
111276,104990
154607,154225
118261,118201
77467,77477
30147,29627
29627,30146
376838,369011
322566,304958
304958,305002
305002,322572
88616,366856
366856,266482
78289,78290
72291,72289
305176,305177
305177,305470
305470,320948
46095,157273
185599,180957
160217,160415
39078,39079
88004,88872
88872,87995
114628,114629
114629,114631
114631,256912
60739,60740
107849,107842
59941,59940
211725,218090
218090,211681
177039,177938
177938,177038
177038,177036
29025,29004
320432,305369
325559,100668
100668,284521
284521,325560
118247,232973
232973,232972
36179,35897
52153,52243
295200,298365
28015,28385
203782,77999
337388,336582
336582,346200
346200,347565
50627,49820
49820,50585
50585,50563
50563,50565
50565,50619
50619,49796
19299,19296
219005,212098
212098,218973
273962,273963
54629,55294
112343,188289
104502,110470
110470,104500
213708,213748
104369,110263
110263,248667
248667,179285
179285,184519
184519,179281
179281,179280
179280,184549
184549,179278
5376,5917
5917,61045
61045,61043
320510,320523
320523,320531
320531,305836
305836,305837
134987,134984
134984,134990
134990,134985
305846,320536
320536,320538
402620,402621
361501,350177
114869,115668
5506,6015
6015,6014
6014,6010
6010,5968
49429,49427
49427,50207
50207,50140
34552,55108
55108,108576
108576,243054
243054,246894
205938,205936
324623,304680
304680,324624
324624,324625
190265,191498
94992,93802
93802,37821
333807,169412
8310,173257
180891,185736
6392,6390
6390,6386
279048,197907
9718,9555
392118,267331
267331,266992
266992,392156
347544,346091
346091,255624
348267,346989
82029,82615
174996,174773
174773,174924
300193,320268
320268,300195
300195,306336
306336,320273
320273,306373
214372,211293
35348,35586
10067,108282
40699,40979
70468,69640
187584,187583
187583,5943
5943,5431
5431,5942
5942,5429
5429,187117
187117,5428
5428,187581
267152,267153
208855,206320
206320,208860
208860,206322
206322,208861
107298,107267
50344,48875
48875,204543
204543,50339
50339,48874
24160,24161
215952,215953
215953,210078
210078,215968
128598,192164
192164,192626
260457,265058
54727,54724
176010,175987
72017,28190
28190,28187
28187,71843
71663,71872
390180,291303
291303,291092
291092,291046
192423,219345
219345,219336
402432,401944
401944,401679
218858,212073
212073,218856
176724,177717
177717,176723
260116,264799
37517,37918
37918,37515
37515,37914
31647,32209
32209,32174
1302,1300
215643,210261
306625,78294
78294,306629
306629,78297
